元梦之星创作者平台LUA编程通用数据定义

充能大招列表
描述: 相关函数：设置玩家当前充能大招（SetRechargedAbility）
充能大招名字	充能大招ID
三重回旋镖	91002
雪人炮弹	91004
旋风锤	91006
喷气滑翔翼	91007
铁头冲锋	91008
陨石术	91009
魔法瓶	91010
芭蕉扇	91011
雷隐术	91012
能量护盾	91013
粘性炸弹	91014
守护精灵	91015
道具盲盒	91016
云朵方块	91018
冰雪公主	91020
反弹护盾	91021

动画列表
描述: 相关函数：让角色播放动作（PlayAnim）、让角色停止播放动作（StopAnim）
动画类型	动画名字	动画参数
玩法机关	玩法元件	上秋千	10088
玩法机关	玩法元件	下秋千	10090
玩法机关	玩法元件	鸭子泳圈出现	10091
玩法机关	玩法元件	鸭子泳圈消失	10092
玩法机关	玩法元件	行星带出现	10093
玩法机关	玩法元件	行星带消失	10095
玩法机关	玩法元件	玩家落水	10107
玩法机关	玩法元件	通关烟花	10108
玩法机关	玩法元件	星星弹板	10109
玩法机关	玩法元件	小摆锤	10110
玩法机关	玩法元件	大摆锤	10111
玩法机关	玩法元件	热气球起飞	10112
玩法机关	玩法元件	热气球降落	10113
玩法机关	玩法元件	坐飞碟	10114
玩法机关	玩法元件	喷泉激活	10115
玩法机关	玩法元件	喷泉停止	10116
玩法机关	玩法元件	加速风圈	10117
玩法机关	玩法元件	水枪击中	10118
玩法机关	玩法元件	伸缩平台	10119
玩法机关	玩法元件	木桶碎裂	10120
玩法机关	玩法元件	平衡球蓄力	10134
玩法机关	玩法元件	平衡球发射	10135
玩法机关	玩法元件	跷跷板爱心	10136
玩法机关	玩法元件	跷跷板气球	10137
玩法机关	玩法元件	跷跷板花瓣	10138
玩法机关	玩法元件	礼花爆裂音效	10144
玩法机关	玩法元件	巨型烟花爆炸	10145
玩法机关	玩法元件	巨型烟花发射	10146
玩法机关	玩法元件	中型烟花爆炸	10147
玩法机关	玩法元件	小型烟花爆炸	10148
玩法机关	玩法元件	小型烟花发射	10149
玩法机关	玩法元件	迷你烟花爆炸	10150
玩法机关	玩法元件	迷你烟花发射	10151
玩法机关	玩法元件	撒红包	10152
玩法机关	玩法元件	获得红包	10153
玩法机关	玩法元件	进入云朵	10154
玩法机关	玩法元件	离开云朵	10155
玩法机关	玩法元件	电击炮发射	10156
玩法机关	玩法元件	电击炮销毁	10157
玩法机关	玩法元件	雷击	10158
玩法机关	玩法元件	辉光球预警	10159
玩法机关	玩法元件	辉光球开启	10160
玩法机关	玩法元件	鱼出水	10161
玩法机关	玩法元件	鱼入水	10162
玩法机关	玩法元件	打开红包	10163
玩法机关	玩法元件	红包音乐	10164
玩法机关	玩法元件	水球进球	10165
玩法机关	玩法元件	变色地板消失	10166
玩法机关	玩法元件	泡泡枪发射	10167
玩法机关	玩法元件	泡泡直接碰撞	10168
玩法机关	玩法元件	泡泡爆炸	10169
玩法机关	玩法元件	三轮车	10170
玩法机关	玩法元件	塑料魔方碎裂	10171
玩法机关	玩法元件	红包打开	10172
玩法机关	玩法元件	孔明灯起飞	10173
玩法机关	玩法元件	冲击波蓄力	10174
玩法机关	玩法元件	冲击波发射	10175
玩法机关	玩法元件	烟花大炮发射	10176
玩法机关	玩法元件	烟花炮弹飞行	10177
玩法机关	玩法元件	烟花炮弹爆炸	10178
玩法音效	技能战斗	受伤	700026
玩法音效	技能战斗	减益	700027
玩法音效	技能战斗	增益	700028
玩法音效	技能战斗	挥剑	700029
玩法音效	技能战斗	闪电技	700030
玩法音效	技能战斗	爆炸技	700031
玩法音效	技能战斗	攻击音效	700032
玩法音效	技能战斗	受击音效	700033
玩法音效	技能战斗	魔法攻击	700034
玩法音效	技能战斗	治疗	700035
玩法音效	技能战斗	护盾	700036
玩法音效	技能战斗	召唤	700037
玩法音效	技能战斗	传送	700038
玩法音效	技能战斗	束缚	700039
玩法音效	技能战斗	棍棒挥动	700040
玩法音效	技能战斗	刀剑碰到金属	700041
玩法音效	技能战斗	刀剑碰到石头	700042
玩法音效	技能战斗	刀剑碰到木头	700043
玩法音效	技能战斗	冰爆炸	700172
玩法音效	技能战斗	熔岩爆炸	700173
玩法音效	技能战斗	剑气爆炸	700174
玩法音效	技能战斗	音波爆炸	700175
玩法音效	技能战斗	毒爆炸	700176
玩法音效	技能战斗	雷电爆炸	700177
玩法音效	技能战斗	梦幻爆炸	700178
玩法音效	技能战斗	黑洞爆炸	700179
玩法音效	技能战斗	迷幻爆炸	700180
玩法音效	技能战斗	护盾	700181
玩法音效	技能战斗	电音环	700182
玩法音效	技能战斗	电球	700183
玩法音效	技能战斗	水球爆炸	700184
玩法音效	技能战斗	回复环	700185
玩法音效	技能战斗	黑洞	700186
玩法音效	技能战斗	熔岩能量球	700187
玩法音效	技能战斗	蓝极光	700188
玩法音效	技能战斗	绿极光	700189
玩法音效	技能战斗	双色星云	700190
玩法音效	技能战斗	毒圈	700191
玩法音效	技能战斗	火环	700192
玩法音效	技能战斗	炎爆	700193
玩法音效	技能战斗	燃烧状态	700194
玩法音效	技能战斗	熔岩喷泉	700195
玩法音效	技能战斗	融火领域	700196
玩法音效	技能战斗	焦土领域	700197
玩法音效	技能战斗	火焰核心	700198
玩法音效	技能战斗	天火	700199
玩法音效	技能战斗	能量地块	700200
玩法音效	技能战斗	龙卷风	700201
玩法音效	技能战斗	物理受击	700202
玩法音效	技能战斗	能量受击	700203
玩法音效	技能战斗	水受击	700204
玩法音效	技能战斗	电受击	700205
玩法音效	技能战斗	毒受击	700206
玩法音效	技能战斗	波涛受击	700207
玩法音效	技能战斗	高能打击效果	700208
玩法音效	技能战斗	爆发打击效果	700209
玩法音效	技能战斗	光波打击效果	700210
玩法音效	技能战斗	球型闪电	700211
玩法音效	技能战斗	阵型闪电	700212
玩法音效	技能战斗	星光闪电	700213
玩法音效	技能战斗	双色闪电	700214
玩法音效	技能战斗	卡通闪电	700215
玩法音效	技能战斗	雷光闪电	700216
玩法音效	技能战斗	水刀光	700217
玩法音效	技能战斗	火刀光	700218
玩法音效	技能战斗	爪子	700219
玩法音效	技能战斗	锤子-轻击	70045
玩法音效	技能战斗	锤子-轻受击	70046
玩法音效	技能战斗	锤子-重击	70047
玩法音效	技能战斗	锤子-重受击	70048
玩法音效	技能战斗	匕首-轻击	700249
玩法音效	技能战斗	匕首-重击	700250
玩法音效	技能战斗	匕首-击中	700251
玩法音效	技能战斗	军刀-轻击	700252
玩法音效	技能战斗	军刀-重击	700253
玩法音效	技能战斗	军刀-击中	700254
玩法音效	技能战斗	掉血	700345
玩法音效	技能战斗	中毒	700346
玩法音效	技能战斗	濒死状态心跳	700347
玩法音效	技能战斗	通用武器-命中	700374
玩法音效	特色玩法	好人身份音	700044
玩法音效	特色玩法	坏人身份音	700045
玩法音效	特色玩法	下一位发言人	700046
玩法音效	特色玩法	发言结束	700047
玩法音效	特色玩法	投票阶段点选人物	700048
玩法音效	特色玩法	已完成投票	700049
玩法音效	特色玩法	有人出局	700050
玩法音效	特色玩法	自己被投出	700051
玩法音效	特色玩法	平安夜音效	700052
玩法音效	特色玩法	坏人袭击阶段	700053
玩法音效	特色玩法	投票阶段开始音效	700054
玩法音效	特色玩法	坏人袭击	700055
玩法音效	特色玩法	提前出局的音效	700057
玩法音效	特色玩法	谁是卧底通用背景音	700106
界面交互	UI交互	错误反馈	700117
界面交互	UI交互	成功反馈	700118
界面交互	UI交互	获取道具气泡音	700120
界面交互	UI交互	通用点击交互1	700121
界面交互	UI交互	通用点击交互2	700122
界面交互	UI交互	通用点击交互3	700123
界面交互	UI交互	通用点击交互4	700124
界面交互	UI交互	通用点击交互5	700125
界面交互	UI交互	通用返回按钮点击音效	700126
界面交互	UI交互	通用确认按钮点击音效	700127
界面交互	UI交互	打开界面通用音效	700128
界面交互	UI交互	点击按钮	700348
界面交互	UI交互	屏幕转场	700349
界面交互	提示音效	8Bit音效1	555001
界面交互	提示音效	8Bit音效2	555002
界面交互	提示音效	8Bit音效3	555003
界面交互	提示音效	8Bit音效4	555004
界面交互	提示音效	8Bit音效5	555005
界面交互	提示音效	8Bit音效6	555006
界面交互	提示音效	8Bit音效7	555007
界面交互	提示音效	获取少量金币	700113
界面交互	提示音效	获取大量金币	700114
界面交互	提示音效	少量特殊货币获取	700115
界面交互	提示音效	大量特殊货币获取	700116
界面交互	提示音效	开奖（小）	700129
界面交互	提示音效	开奖（中）	700130
界面交互	提示音效	开奖（大）	700131
界面交互	提示音效	等级提升	700132
界面交互	提示音效	技能点升级	700119
界面交互	提示音效	胜利	700133
界面交互	提示音效	失败	700134
界面交互	提示音效	战败	700135
界面交互	提示音效	出战	700136
界面交互	提示音效	红点提示	700137
界面交互	提示音效	倒计时	700138
界面交互	提示音效	得分	700264
界面交互	提示音效	8Bit音效8	700350
界面交互	提示音效	8Bit音效9	700351
界面交互	提示音效	8Bit音效10	700352
界面交互	提示音效	8Bit音效11	700353
界面交互	提示音效	8Bit音效12	700354
界面交互	提示音效	8Bit音效13	700355
界面交互	提示音效	随机匹配	560005
界面交互	过场渲染	星星飞过	555501
界面交互	过场渲染	赛博长倒吸	555502
界面交互	过场渲染	惊奇一响	555503
界面交互	过场渲染	赛博短倒吸	555504
界面交互	过场渲染	大铜锣	555505
界面交互	过场渲染	十面埋伏	555506
界面交互	过场渲染	空洞摇铃	555507
界面交互	过场渲染	空灵水滴	555508
界面交互	过场渲染	搞怪乌鸦叫声	700056
乐器音效	钢琴	大字一组C-钢琴	500001
乐器音效	钢琴	大字一组#C-钢琴	500002
乐器音效	钢琴	大字一组D-钢琴	500003
乐器音效	钢琴	大字一组#D-钢琴	500004
乐器音效	钢琴	大字一组E-钢琴	500005
乐器音效	钢琴	大字一组F-钢琴	500006
乐器音效	钢琴	大字一组#F-钢琴	500007
乐器音效	钢琴	大字一组G-钢琴	500008
乐器音效	钢琴	大字一组#G-钢琴	500009
乐器音效	钢琴	大字一组A-钢琴	500010
乐器音效	钢琴	大字一组#A-钢琴	500011
乐器音效	钢琴	大字一组B-钢琴	500012
乐器音效	钢琴	大字组C-钢琴	500013
乐器音效	钢琴	大字组#C-钢琴	500014
乐器音效	钢琴	大字组D-钢琴	500015
乐器音效	钢琴	大字组#D-钢琴	500016
乐器音效	钢琴	大字组E-钢琴	500017
乐器音效	钢琴	大字组F-钢琴	500018
乐器音效	钢琴	大字组#F-钢琴	500019
乐器音效	钢琴	大字组G-钢琴	500020
乐器音效	钢琴	大字组#G-钢琴	500021
乐器音效	钢琴	大字组A-钢琴	500022
乐器音效	钢琴	大字组#A-钢琴	500023
乐器音效	钢琴	大字组B-钢琴	500024
乐器音效	钢琴	小字组C-钢琴	500025
乐器音效	钢琴	小字组#C-钢琴	500026
乐器音效	钢琴	小字组D-钢琴	500027
乐器音效	钢琴	小字组#D-钢琴	500028
乐器音效	钢琴	小字组E-钢琴	500029
乐器音效	钢琴	小字组F-钢琴	500030
乐器音效	钢琴	小字组#F-钢琴	500031
乐器音效	钢琴	小字组G-钢琴	500032
乐器音效	钢琴	小字组#G-钢琴	500033
乐器音效	钢琴	小字组A-钢琴	500034
乐器音效	钢琴	小字组#A-钢琴	500035
乐器音效	钢琴	小字组B-钢琴	500036
乐器音效	钢琴	小字一组C-钢琴	500037
乐器音效	钢琴	小字一组#C-钢琴	500038
乐器音效	钢琴	小字一组D-钢琴	500039
乐器音效	钢琴	小字一组#D-钢琴	500040
乐器音效	钢琴	小字一组E-钢琴	500041
乐器音效	钢琴	小字一组F-钢琴	500042
乐器音效	钢琴	小字一组#F-钢琴	500043
乐器音效	钢琴	小字一组G-钢琴	500044
乐器音效	钢琴	小字一组#G-钢琴	500045
乐器音效	钢琴	小字一组A-钢琴	500046
乐器音效	钢琴	小字一组#A-钢琴	500047
乐器音效	钢琴	小字一组B-钢琴	500048
乐器音效	钢琴	小字二组C-钢琴	500049
乐器音效	钢琴	小字二组#C-钢琴	500050
乐器音效	钢琴	小字二组D-钢琴	500051
乐器音效	钢琴	小字二组#D-钢琴	500052
乐器音效	钢琴	小字二组E-钢琴	500053
乐器音效	钢琴	小字二组F-钢琴	500054
乐器音效	钢琴	小字二组#F-钢琴	500055
乐器音效	钢琴	小字二组G-钢琴	500056
乐器音效	钢琴	小字二组#G-钢琴	500057
乐器音效	钢琴	小字二组A-钢琴	500058
乐器音效	钢琴	小字二组#A-钢琴	500059
乐器音效	钢琴	小字二组B-钢琴	500060
乐器音效	钢琴	小字三组C-钢琴	500061
乐器音效	钢琴	小字三组#C-钢琴	500062
乐器音效	钢琴	小字三组D-钢琴	500063
乐器音效	钢琴	小字三组#D-钢琴	500064
乐器音效	钢琴	小字三组E-钢琴	500065
乐器音效	钢琴	小字三组F-钢琴	500066
乐器音效	钢琴	小字三组#F-钢琴	500067
乐器音效	钢琴	小字三组G-钢琴	500068
乐器音效	钢琴	小字三组#G-钢琴	500069
乐器音效	钢琴	小字三组A-钢琴	500070
乐器音效	钢琴	小字三组#A-钢琴	500071
乐器音效	钢琴	小字三组B-钢琴	500072
乐器音效	电钢琴	大字组C-电钢琴	500101
乐器音效	电钢琴	大字组#C-电钢琴	500102
乐器音效	电钢琴	大字组D-电钢琴	500103
乐器音效	电钢琴	大字组#D-电钢琴	500104
乐器音效	电钢琴	大字组E-电钢琴	500105
乐器音效	电钢琴	大字组F-电钢琴	500106
乐器音效	电钢琴	大字组#F-电钢琴	500107
乐器音效	电钢琴	大字组G-电钢琴	500108
乐器音效	电钢琴	大字组#G-电钢琴	500109
乐器音效	电钢琴	大字组A-电钢琴	500110
乐器音效	电钢琴	大字组#A-电钢琴	500111
乐器音效	电钢琴	大字组B-电钢琴	500112
乐器音效	电钢琴	小字组C-电钢琴	500113
乐器音效	电钢琴	小字组#C-电钢琴	500114
乐器音效	电钢琴	小字组D-电钢琴	500115
乐器音效	电钢琴	小字组#D-电钢琴	500116
乐器音效	电钢琴	小字组E-电钢琴	500117
乐器音效	电钢琴	小字组F-电钢琴	500118
乐器音效	电钢琴	小字组#F-电钢琴	500119
乐器音效	电钢琴	小字组G-电钢琴	500120
乐器音效	电钢琴	小字组#G-电钢琴	500121
乐器音效	电钢琴	小字组A-电钢琴	500122
乐器音效	电钢琴	小字组#A-电钢琴	500123
乐器音效	电钢琴	小字组B-电钢琴	500124
乐器音效	电钢琴	小字一组C-电钢琴	500125
乐器音效	电钢琴	小字一组#C-电钢琴	500126
乐器音效	电钢琴	小字一组D-电钢琴	500127
乐器音效	电钢琴	小字一组#D-电钢琴	500128
乐器音效	电钢琴	小字一组E-电钢琴	500129
乐器音效	电钢琴	小字一组F-电钢琴	500130
乐器音效	电钢琴	小字一组#F-电钢琴	500131
乐器音效	电钢琴	小字一组G-电钢琴	500132
乐器音效	电钢琴	小字一组#G-电钢琴	500133
乐器音效	电钢琴	小字一组A-电钢琴	500134
乐器音效	电钢琴	小字一组#A-电钢琴	500135
乐器音效	电钢琴	小字一组B-电钢琴	500136
乐器音效	电钢琴	小字二组C-电钢琴	500137
乐器音效	电钢琴	小字二组#C-电钢琴	500138
乐器音效	电钢琴	小字二组D-电钢琴	500139
乐器音效	电钢琴	小字二组#D-电钢琴	500140
乐器音效	电钢琴	小字二组E-电钢琴	500141
乐器音效	电钢琴	小字二组F-电钢琴	500142
乐器音效	电钢琴	小字二组#F-电钢琴	500143
乐器音效	电钢琴	小字二组G-电钢琴	500144
乐器音效	电钢琴	小字二组#G-电钢琴	500145
乐器音效	电钢琴	小字二组A-电钢琴	500146
乐器音效	电钢琴	小字二组#A-电钢琴	500147
乐器音效	电钢琴	小字二组B-电钢琴	500148
乐器音效	电钢琴	小字三组C-电钢琴	500149
乐器音效	电钢琴	小字三组#C-电钢琴	500150
乐器音效	电钢琴	小字三组D-电钢琴	500151
乐器音效	电钢琴	小字三组#D-电钢琴	500152
乐器音效	电钢琴	小字三组E-电钢琴	500153
乐器音效	电钢琴	小字三组F-电钢琴	500154
乐器音效	电钢琴	小字三组#F-电钢琴	500155
乐器音效	电钢琴	小字三组G-电钢琴	500156
乐器音效	电钢琴	小字三组#G-电钢琴	500157
乐器音效	电钢琴	小字三组A-电钢琴	500158
乐器音效	电钢琴	小字三组#A-电钢琴	500159
乐器音效	电钢琴	小字三组B-电钢琴	500160
乐器音效	电吉他	小字组C-电吉他1	510001
乐器音效	电吉他	小字组#C-电吉他1	510002
乐器音效	电吉他	小字组D-电吉他1	510003
乐器音效	电吉他	小字组#D-电吉他1	510004
乐器音效	电吉他	小字组E-电吉他1	510005
乐器音效	电吉他	小字组F-电吉他1	510006
乐器音效	电吉他	小字组#F-电吉他1	510007
乐器音效	电吉他	小字组G-电吉他1	510008
乐器音效	电吉他	小字组#G-电吉他1	510009
乐器音效	电吉他	小字组A-电吉他1	510010
乐器音效	电吉他	小字组#A-电吉他1	510011
乐器音效	电吉他	小字组B-电吉他1	510012
乐器音效	电吉他	小字一组C-电吉他1	510013
乐器音效	电吉他	小字一组#C-电吉他1	510014
乐器音效	电吉他	小字一组D-电吉他1	510015
乐器音效	电吉他	小字一组#D-电吉他1	510016
乐器音效	电吉他	小字一组E-电吉他1	510017
乐器音效	电吉他	小字一组F-电吉他1	510018
乐器音效	电吉他	小字一组#F-电吉他1	510019
乐器音效	电吉他	小字一组G-电吉他1	510020
乐器音效	电吉他	小字一组#G-电吉他1	510021
乐器音效	电吉他	小字一组A-电吉他1	510022
乐器音效	电吉他	小字一组#A-电吉他1	510023
乐器音效	电吉他	小字一组B-电吉他1	510024
乐器音效	电吉他	小字二组C-电吉他1	510025
乐器音效	电吉他	小字二组#C-电吉他1	510026
乐器音效	电吉他	小字二组D-电吉他1	510027
乐器音效	电吉他	小字二组#D-电吉他1	510028
乐器音效	电吉他	小字二组E-电吉他1	510029
乐器音效	电吉他	小字二组F-电吉他1	510030
乐器音效	电吉他	小字二组#F-电吉他1	510031
乐器音效	电吉他	小字二组G-电吉他1	510032
乐器音效	电吉他	小字二组#G-电吉他1	510033
乐器音效	电吉他	小字二组A-电吉他1	510034
乐器音效	电吉他	小字二组#A-电吉他1	510035
乐器音效	电吉他	小字二组B-电吉他1	510036
乐器音效	电吉他	小字三组C-电吉他1	510037
乐器音效	电吉他	小字三组#C-电吉他1	510038
乐器音效	电吉他	小字三组D-电吉他1	510039
乐器音效	电吉他	小字三组#D-电吉他1	510040
乐器音效	电吉他	小字三组E-电吉他1	510041
乐器音效	电吉他	小字三组F-电吉他1	510042
乐器音效	电吉他	小字三组#F-电吉他1	510043
乐器音效	电吉他	小字三组G-电吉他1	510044
乐器音效	电吉他	小字三组#G-电吉他1	510045
乐器音效	电吉他	小字三组A-电吉他1	510046
乐器音效	电吉他	小字三组#A-电吉他1	510047
乐器音效	电吉他	小字三组B-电吉他1	510048
乐器音效	电吉他	小字组C-电吉他2	510101
乐器音效	电吉他	小字组#C-电吉他2	510102
乐器音效	电吉他	小字组D-电吉他2	510103
乐器音效	电吉他	小字组#D-电吉他2	510104
乐器音效	电吉他	小字组E-电吉他2	510105
乐器音效	电吉他	小字组F-电吉他2	510106
乐器音效	电吉他	小字组#F-电吉他2	510107
乐器音效	电吉他	小字组G-电吉他2	510108
乐器音效	电吉他	小字组#G-电吉他2	510109
乐器音效	电吉他	小字组A-电吉他2	510110
乐器音效	电吉他	小字组#A-电吉他2	510111
乐器音效	电吉他	小字组B-电吉他2	510112
乐器音效	电吉他	小字一组C-电吉他2	510113
乐器音效	电吉他	小字一组#C-电吉他2	510114
乐器音效	电吉他	小字一组D-电吉他2	510115
乐器音效	电吉他	小字一组#D-电吉他2	510116
乐器音效	电吉他	小字一组E-电吉他2	510117
乐器音效	电吉他	小字一组F-电吉他2	510118
乐器音效	电吉他	小字一组#F-电吉他2	510119
乐器音效	电吉他	小字一组G-电吉他2	510120
乐器音效	电吉他	小字一组#G-电吉他2	510121
乐器音效	电吉他	小字一组A-电吉他2	510122
乐器音效	电吉他	小字一组#A-电吉他2	510123
乐器音效	电吉他	小字一组B-电吉他2	510124
乐器音效	电吉他	小字二组C-电吉他2	510125
乐器音效	电吉他	小字二组#C-电吉他2	510126
乐器音效	电吉他	小字二组D-电吉他2	510127
乐器音效	电吉他	小字二组#D-电吉他2	510128
乐器音效	电吉他	小字二组E-电吉他2	510129
乐器音效	电吉他	小字二组F-电吉他2	510130
乐器音效	电吉他	小字二组#F-电吉他2	510131
乐器音效	电吉他	小字二组G-电吉他2	510132
乐器音效	电吉他	小字二组#G-电吉他2	510133
乐器音效	电吉他	小字二组A-电吉他2	510134
乐器音效	电吉他	小字二组#A-电吉他2	510135
乐器音效	电吉他	小字二组B-电吉他2	510136
乐器音效	电吉他	小字三组C-电吉他2	510137
乐器音效	电吉他	小字三组#C-电吉他2	510138
乐器音效	电吉他	小字三组D-电吉他2	510139
乐器音效	电吉他	小字三组#D-电吉他2	510140
乐器音效	电吉他	小字三组E-电吉他2	510141
乐器音效	电吉他	小字三组F-电吉他2	510142
乐器音效	电吉他	小字三组#F-电吉他2	510143
乐器音效	电吉他	小字三组G-电吉他2	510144
乐器音效	电吉他	小字三组#G-电吉他2	510145
乐器音效	电吉他	小字三组A-电吉他2	510146
乐器音效	电吉他	小字三组#A-电吉他2	510147
乐器音效	电吉他	小字三组B-电吉他2	510148
乐器音效	电吉他	小字组C-电吉他3	510201
乐器音效	电吉他	小字组#C-电吉他3	510202
乐器音效	电吉他	小字组D-电吉他3	510203
乐器音效	电吉他	小字组#D-电吉他3	510204
乐器音效	电吉他	小字组E-电吉他3	510205
乐器音效	电吉他	小字组F-电吉他3	510206
乐器音效	电吉他	小字组#F-电吉他3	510207
乐器音效	电吉他	小字组G-电吉他3	510208
乐器音效	电吉他	小字组#G-电吉他3	510209
乐器音效	电吉他	小字组A-电吉他3	510210
乐器音效	电吉他	小字组#A-电吉他3	510211
乐器音效	电吉他	小字组B-电吉他3	510212
乐器音效	电吉他	小字一组C-电吉他3	510213
乐器音效	电吉他	小字一组#C-电吉他3	510214
乐器音效	电吉他	小字一组D-电吉他3	510215
乐器音效	电吉他	小字一组#D-电吉他3	510216
乐器音效	电吉他	小字一组E-电吉他3	510217
乐器音效	电吉他	小字一组F-电吉他3	510218
乐器音效	电吉他	小字一组#F-电吉他3	510219
乐器音效	电吉他	小字一组G-电吉他3	510220
乐器音效	电吉他	小字一组#G-电吉他3	510221
乐器音效	电吉他	小字一组A-电吉他3	510222
乐器音效	电吉他	小字一组#A-电吉他3	510223
乐器音效	电吉他	小字一组B-电吉他3	510224
乐器音效	电吉他	小字二组C-电吉他3	510225
乐器音效	电吉他	小字二组#C-电吉他3	510226
乐器音效	电吉他	小字二组D-电吉他3	510227
乐器音效	电吉他	小字二组#D-电吉他3	510228
乐器音效	电吉他	小字二组E-电吉他3	510229
乐器音效	电吉他	小字二组F-电吉他3	510230
乐器音效	电吉他	小字二组#F-电吉他3	510231
乐器音效	电吉他	小字二组G-电吉他3	510232
乐器音效	电吉他	小字二组#G-电吉他3	510233
乐器音效	电吉他	小字二组A-电吉他3	510234
乐器音效	电吉他	小字二组#A-电吉他3	510235
乐器音效	电吉他	小字二组B-电吉他3	510236
乐器音效	电吉他	小字三组C-电吉他3	510237
乐器音效	电吉他	小字三组#C-电吉他3	510238
乐器音效	电吉他	小字三组D-电吉他3	510239
乐器音效	电吉他	小字三组#D-电吉他3	510240
乐器音效	电吉他	小字三组E-电吉他3	510241
乐器音效	电吉他	小字三组F-电吉他3	510242
乐器音效	电吉他	小字三组#F-电吉他3	510243
乐器音效	电吉他	小字三组G-电吉他3	510244
乐器音效	电吉他	小字三组#G-电吉他3	510245
乐器音效	电吉他	小字三组A-电吉他3	510246
乐器音效	电吉他	小字三组#A-电吉他3	510247
乐器音效	电吉他	小字三组B-电吉他3	510248
乐器音效	电贝斯	大字组C-电贝斯1	520001
乐器音效	电贝斯	大字组#C-电贝斯1	520002
乐器音效	电贝斯	大字组D-电贝斯1	520003
乐器音效	电贝斯	大字组#D-电贝斯1	520004
乐器音效	电贝斯	大字组E-电贝斯1	520005
乐器音效	电贝斯	大字组F-电贝斯1	520006
乐器音效	电贝斯	大字组#F-电贝斯1	520007
乐器音效	电贝斯	大字组G-电贝斯1	520008
乐器音效	电贝斯	大字组#G-电贝斯1	520009
乐器音效	电贝斯	大字组A-电贝斯1	520010
乐器音效	电贝斯	大字组#A-电贝斯1	520011
乐器音效	电贝斯	大字组B-电贝斯1	520012
乐器音效	电贝斯	小字组C-电贝斯1	520013
乐器音效	电贝斯	小字组#C-电贝斯1	520014
乐器音效	电贝斯	小字组D-电贝斯1	520015
乐器音效	电贝斯	小字组#D-电贝斯1	520016
乐器音效	电贝斯	小字组E-电贝斯1	520017
乐器音效	电贝斯	小字组F-电贝斯1	520018
乐器音效	电贝斯	小字组#F-电贝斯1	520019
乐器音效	电贝斯	小字组G-电贝斯1	520020
乐器音效	电贝斯	小字组#G-电贝斯1	520021
乐器音效	电贝斯	小字组A-电贝斯1	520022
乐器音效	电贝斯	小字组#A-电贝斯1	520023
乐器音效	电贝斯	小字组B-电贝斯1	520024
乐器音效	电贝斯	小字一组C-电贝斯1	520025
乐器音效	电贝斯	小字一组#C-电贝斯1	520026
乐器音效	电贝斯	小字一组D-电贝斯1	520027
乐器音效	电贝斯	小字一组#D-电贝斯1	520028
乐器音效	电贝斯	小字一组E-电贝斯1	520029
乐器音效	电贝斯	小字一组F-电贝斯1	520030
乐器音效	电贝斯	小字一组#F-电贝斯1	520031
乐器音效	电贝斯	小字一组G-电贝斯1	520032
乐器音效	电贝斯	小字一组#G-电贝斯1	520033
乐器音效	电贝斯	小字一组A-电贝斯1	520034
乐器音效	电贝斯	小字一组#A-电贝斯1	520035
乐器音效	电贝斯	小字一组B-电贝斯1	520036
乐器音效	电贝斯	小字二组C-电贝斯1	520037
乐器音效	电贝斯	小字二组#C-电贝斯1	520038
乐器音效	电贝斯	小字二组D-电贝斯1	520039
乐器音效	电贝斯	小字二组#D-电贝斯1	520040
乐器音效	电贝斯	小字二组E-电贝斯1	520041
乐器音效	电贝斯	小字二组F-电贝斯1	520042
乐器音效	电贝斯	小字二组#F-电贝斯1	520043
乐器音效	电贝斯	小字二组G-电贝斯1	520044
乐器音效	电贝斯	小字二组#G-电贝斯1	520045
乐器音效	电贝斯	小字二组A-电贝斯1	520046
乐器音效	电贝斯	小字二组#A-电贝斯1	520047
乐器音效	电贝斯	小字二组B-电贝斯1	520048
乐器音效	电贝斯	小字三组C-电贝斯1	520049
乐器音效	电贝斯	小字三组#C-电贝斯1	520050
乐器音效	电贝斯	小字三组D-电贝斯1	520051
乐器音效	电贝斯	小字三组#D-电贝斯1	520052
乐器音效	电贝斯	小字三组E-电贝斯1	520053
乐器音效	电贝斯	小字三组F-电贝斯1	520054
乐器音效	电贝斯	小字三组#F-电贝斯1	520055
乐器音效	电贝斯	小字三组G-电贝斯1	520056
乐器音效	电贝斯	小字三组#G-电贝斯1	520057
乐器音效	电贝斯	小字三组A-电贝斯1	520058
乐器音效	电贝斯	小字三组#A-电贝斯1	520059
乐器音效	电贝斯	小字三组B-电贝斯1	520060
乐器音效	电贝斯	大字组C-电贝斯2	520101
乐器音效	电贝斯	大字组#C-电贝斯2	520102
乐器音效	电贝斯	大字组D-电贝斯2	520103
乐器音效	电贝斯	大字组#D-电贝斯2	520104
乐器音效	电贝斯	大字组E-电贝斯2	520105
乐器音效	电贝斯	大字组F-电贝斯2	520106
乐器音效	电贝斯	大字组#F-电贝斯2	520107
乐器音效	电贝斯	大字组G-电贝斯2	520108
乐器音效	电贝斯	大字组#G-电贝斯2	520109
乐器音效	电贝斯	大字组A-电贝斯2	520110
乐器音效	电贝斯	大字组#A-电贝斯2	520111
乐器音效	电贝斯	大字组B-电贝斯2	520112
乐器音效	电贝斯	小字组C-电贝斯2	520113
乐器音效	电贝斯	小字组#C-电贝斯2	520114
